               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.028176,           0.0056961,           0.0029405,             0.93878,             0.93655,             0.98071,             0.75233,            0.016109,           0.0042162,           0.0020843,           0.0098792,           0.0098792,           0.0098792
                  63,            0.028319,           0.0059425,           0.0030913,             0.92717,             0.92181,               0.995,              0.8144,            0.015275,           0.0037237,           0.0021662,           0.0098772,           0.0098772,           0.0098772
                  64,            0.027669,           0.0055557,           0.0027909,              0.9045,             0.94635,             0.95636,              0.7686,            0.015968,           0.0043537,           0.0021233,           0.0098753,           0.0098753,           0.0098753
                  65,            0.026781,           0.0055774,           0.0025697,             0.88529,             0.93495,             0.97278,                0.81,            0.015796,           0.0044061,           0.0023331,           0.0098733,           0.0098733,           0.0098733
                  66,            0.027059,           0.0055157,           0.0026939,             0.94749,                0.85,                0.97,             0.84708,            0.013685,           0.0043478,           0.0020124,           0.0098713,           0.0098713,           0.0098713
                  67,            0.026914,           0.0055586,           0.0026035,             0.91602,             0.88772,             0.94756,             0.77065,            0.016257,           0.0049784,           0.0020709,           0.0098693,           0.0098693,           0.0098693
                  68,            0.026074,           0.0057146,            0.003131,             0.94661,             0.89567,             0.97625,             0.81596,             0.01483,           0.0038508,            0.002231,           0.0098673,           0.0098673,           0.0098673
                  69,            0.026185,           0.0058717,           0.0034645,             0.92639,             0.83623,             0.91485,             0.74676,            0.016095,           0.0055151,           0.0018556,           0.0098654,           0.0098654,           0.0098654
                  70,            0.026249,           0.0058945,           0.0027809,             0.88966,             0.93712,             0.95816,               0.823,            0.014912,             0.00442,           0.0026038,           0.0098634,           0.0098634,           0.0098634
                  71,            0.026779,            0.005906,           0.0032624,             0.92989,              0.9195,             0.94784,             0.77034,            0.015852,           0.0054456,           0.0018957,           0.0098614,           0.0098614,           0.0098614
                  72,             0.02635,           0.0058791,           0.0038537,              0.9625,             0.91213,             0.97625,             0.79033,            0.014535,           0.0040506,           0.0021488,           0.0098594,           0.0098594,           0.0098594
                  73,            0.028379,           0.0057713,           0.0034003,             0.94296,             0.94105,             0.94678,             0.79711,            0.016567,             0.00436,           0.0024403,           0.0098574,           0.0098574,           0.0098574
                  74,            0.028367,           0.0059931,           0.0029552,             0.88155,             0.93418,             0.94744,              0.7283,            0.015846,            0.005235,           0.0020429,           0.0098555,           0.0098555,           0.0098555
                  75,            0.028198,           0.0056417,           0.0025093,             0.92956,             0.92025,             0.97625,             0.82908,             0.01474,           0.0041295,           0.0019749,           0.0098535,           0.0098535,           0.0098535
                  76,            0.027406,           0.0058324,           0.0028421,             0.92678,                 0.9,             0.94542,             0.79248,             0.01504,            0.005229,           0.0019029,           0.0098515,           0.0098515,           0.0098515
                  77,            0.026977,           0.0055932,           0.0027696,             0.95768,             0.85902,             0.94862,             0.85343,            0.014447,           0.0050855,           0.0020606,           0.0098495,           0.0098495,           0.0098495
                  78,            0.027112,           0.0056724,           0.0028388,             0.94479,             0.87576,             0.97833,             0.82158,            0.015812,           0.0043031,            0.001932,           0.0098475,           0.0098475,           0.0098475
                  79,            0.026786,           0.0057341,           0.0024428,             0.93522,              0.8908,             0.93809,             0.78871,            0.014448,           0.0050533,            0.001898,           0.0098456,           0.0098456,           0.0098456
                  80,            0.026707,           0.0053938,           0.0027302,             0.92629,             0.88776,              0.9471,             0.82246,            0.013755,           0.0041503,           0.0019848,           0.0098436,           0.0098436,           0.0098436
                  81,             0.02569,           0.0055159,           0.0024633,             0.87004,             0.98455,               0.995,             0.84411,            0.013659,           0.0036004,           0.0019307,           0.0098416,           0.0098416,           0.0098416
                  82,            0.025326,           0.0053792,           0.0025424,             0.96518,             0.86083,             0.94024,             0.79549,            0.015034,            0.004996,           0.0018725,           0.0098396,           0.0098396,           0.0098396
                  83,            0.024624,           0.0055196,           0.0023854,             0.96556,                0.85,             0.93235,             0.79041,            0.014906,           0.0052151,           0.0019139,           0.0098376,           0.0098376,           0.0098376
                  84,            0.024833,           0.0055469,           0.0024104,             0.95465,             0.87987,             0.97833,             0.83693,            0.013832,           0.0040126,           0.0019948,           0.0098357,           0.0098357,           0.0098357
                  85,            0.026224,           0.0052545,           0.0025741,             0.96569,             0.85613,             0.97833,              0.8182,            0.016074,           0.0040887,            0.001829,           0.0098337,           0.0098337,           0.0098337
                  86,            0.024987,           0.0053127,           0.0022952,             0.85712,             0.97374,               0.995,             0.86372,            0.012524,           0.0032653,           0.0018681,           0.0098317,           0.0098317,           0.0098317
                  87,            0.025687,           0.0055472,           0.0022255,              0.9764,             0.85459,             0.97833,              0.8587,            0.013735,           0.0036409,             0.00202,           0.0098297,           0.0098297,           0.0098297
                  88,            0.024682,           0.0051826,             0.00233,             0.88173,              0.9382,               0.995,             0.85487,            0.014001,           0.0035422,           0.0019266,           0.0098277,           0.0098277,           0.0098277
                  89,            0.025475,           0.0050613,           0.0025127,             0.86482,                   1,               0.995,             0.77517,            0.014199,           0.0034774,           0.0018216,           0.0098258,           0.0098258,           0.0098258
                  90,            0.025103,           0.0050086,           0.0021521,             0.82734,                   1,               0.995,             0.85182,            0.012797,           0.0033819,           0.0018789,           0.0098238,           0.0098238,           0.0098238
                  91,            0.026674,           0.0050062,           0.0022076,             0.86726,             0.99046,               0.995,             0.84135,            0.014002,           0.0033699,           0.0019225,           0.0098218,           0.0098218,           0.0098218
                  92,            0.026204,           0.0053552,           0.0024792,             0.93302,             0.90179,               0.995,             0.84736,            0.014056,           0.0033953,           0.0018037,           0.0098198,           0.0098198,           0.0098198
